Адресс	Код	СК	РА	РК	РД	А	С	Адрес	Новый код	
"012"	"F200"	"0013"	"0012"	"F200"	"F200"	"0000"	"0"	
"013"	"480B"	"0014"	"001A"	"480B"	"CF01"	"CF01"	"0"	"00B"	"001B"	
"014"	"9016"	"0015"	"0014"	"9016"	"9016"	"CF01"	"0"	
"015"	"2045"	"0046"	"0045"	"2046"	"0016"	"CF01"	"0"	"045"	"0016"	
"046"	"F200"	"0047"	"0046"	"F200"	"F200"	"0000"	"0"	
"047"	"F800"	"0048"	"0047"	"F800"	"F800"	"0001"	"0"	
"048"	"4019"	"0049"	"0019"	"4019"	"0000"	"0001"	"0"	
"049"	"3019"	"004A"	"0019"	"3019"	"0001"	"0001"	"0"	"019"	"0001"	
"04A"	"C845"	"0016"	"0045"	"C845"	"0016"	"0001"	"0"	
"016"	"0011"	"0017"	"0011"	"0011"	"FFFF"	"0001"	"0"	"011"	"FFFF"	
"017"	"C012"	"0012"	"0017"	"C012"	"C012"	"0001"	"0"	
"012"	"F200"	"0013"	"0012"	"F200"	"F200"	"0000"	"0"	
"013"	"480B"	"0014"	"001B"	"480B"	"B0BA"	"B0BA"	"0"	"00B"	"001C"	
"014"	"9016"	"0015"	"0014"	"9016"	"9016"	"B0BA"	"0"	
"015"	"2045"	"0046"	"0045"	"2046"	"0016"	"B0BA"	"0"	
"046"	"F200"	"0047"	"0046"	"F200"	"F200"	"0000"	"0"	
"047"	"F800"	"0048"	"0047"	"F800"	"F800"	"0001"	"0"	
"048"	"4019"	"0049"	"0019"	"4019"	"0001"	"0002"	"0"	
"049"	"3019"	"004A"	"0019"	"3019"	"0002"	"0002"	"0"	"019"	"0002"	
"04A"	"C845"	"0016"	"0045"	"C845"	"0016"	"0002"	"0"	
"016"	"0011"	"0018"	"0011"	"0011"	"0000"	"0002"	"0"	"011"	"0000"	
"018"	"F000"	"0019"	"0018"	"F000"	"F000"	"0002"	"0"	
