Адресс	Код	СК	РА	РК	РД	А	С	Адрес	Новый код	
"013"	"F200"	"0014"	"0013"	"F200"	"F200"	"0000"	"0"	
"014"	"480F"	"0015"	"001C"	"480F"	"DECA"	"DECA"	"0"	"00F"	"001D"	
"015"	"A018"	"0018"	"0015"	"A018"	"A018"	"DECA"	"0"	
"018"	"0012"	"0019"	"0012"	"0012"	"FFFD"	"DECA"	"0"	"012"	"FFFD"	
"019"	"C013"	"0013"	"0019"	"C013"	"C013"	"DECA"	"0"	
"013"	"F200"	"0014"	"0013"	"F200"	"F200"	"0000"	"0"	
"014"	"480F"	"0015"	"001D"	"480F"	"30AE"	"30AE"	"0"	"00F"	"001E"	
"015"	"A018"	"0016"	"0015"	"A018"	"A018"	"30AE"	"0"	
"016"	"4011"	"0017"	"0011"	"4011"	"0000"	"30AE"	"0"	
"017"	"3011"	"0018"	"0011"	"3011"	"30AE"	"30AE"	"0"	"011"	"30AE"	
"018"	"0012"	"0019"	"0012"	"0012"	"FFFE"	"30AE"	"0"	"012"	"FFFE"	
"019"	"C013"	"0013"	"0019"	"C013"	"C013"	"30AE"	"0"	
"013"	"F200"	"0014"	"0013"	"F200"	"F200"	"0000"	"0"	
"014"	"480F"	"0015"	"001E"	"480F"	"7F01"	"7F01"	"0"	"00F"	"001F"	
"015"	"A018"	"0016"	"0015"	"A018"	"A018"	"7F01"	"0"	
"016"	"4011"	"0017"	"0011"	"4011"	"30AE"	"AFAF"	"0"	
"017"	"3011"	"0018"	"0011"	"3011"	"AFAF"	"AFAF"	"0"	"011"	"AFAF"	
"018"	"0012"	"0019"	"0012"	"0012"	"FFFF"	"AFAF"	"0"	"012"	"FFFF"	
"019"	"C013"	"0013"	"0019"	"C013"	"C013"	"AFAF"	"0"	
"013"	"F200"	"0014"	"0013"	"F200"	"F200"	"0000"	"0"	
"014"	"480F"	"0015"	"001F"	"480F"	"0000"	"0000"	"0"	"00F"	"0020"	
"015"	"A018"	"0016"	"0015"	"A018"	"A018"	"0000"	"0"	
"016"	"4011"	"0017"	"0011"	"4011"	"AFAF"	"AFAF"	"0"	
"017"	"3011"	"0018"	"0011"	"3011"	"AFAF"	"AFAF"	"0"	
"018"	"0012"	"001A"	"0012"	"0012"	"0000"	"AFAF"	"0"	"012"	"0000"	
"01A"	"F000"	"001B"	"001A"	"F000"	"F000"	"AFAF"	"0"	
